Gene	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	36.42934074	43.8420156	53.26195154	49.08123344	58.14854823	40.09258549	32.20567593	52.15496809
A1BG	45.37689812	42.77269815	83.22179928	72.28327107	62.73922309	68.60286851	60.25578078	53.49227496
A1BG-AS1	163.6124777	189.2691893	183.0879584	168.6609658	163.73407	189.7715713	178.6895568	168.5006661
A1CF	0	1.069317454	0.832217993	0	0	0	0	0
A2LD1	93.3102412	86.61471375	114.846083	111.5482578	79.57169758	81.07611733	83.11142176	66.8653437
A2M	6.391112411	9.623857083	1.664435986	4.461930313	3.060449907	8.018517099	8.311142176	5.349227496
A2ML1	1.917333723	2.138634907	4.993307957	4.461930313	3.060449907	1.781892689	1.038892772	0
A2MP1	0	0	1.664435986	0.892386063	4.59067486	0	2.077785544	1.337306874
A4GALT	35.7902295	39.56474579	89.04732523	105.3015554	99.46462198	43.65637087	54.02242414	49.48035434
A4GNT	0	0	0	0	1.530224953	0	0	0
AA06	0	0	0	0	0	0	0	0
AAA1	0	0	0.832217993	0	0	0	0	0
AAAS	1462.28652	1457.479689	1458.878141	1541.15073	1277.737836	1489.662288	1443.02206	1499.121006
AACS	1013.630428	986.9800098	791.4393112	862.9373225	740.6288775	835.7076709	800.9863272	849.189865
AACSP1	0.639111241	1.069317454	2.496653979	0	1.530224953	0.890946344	1.038892772	4.011920622
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0.832217993	0.892386063	0	0	0	0
AADAT	547.0792224	576.3621076	493.5052698	514.014372	549.3507583	505.1665772	541.2631342	556.3196596
AAGAB	2970.589049	2726.759507	2203.713245	2102.461563	2266.263156	2908.939814	2898.510834	2832.415959
AAK1	1476.346967	1479.935356	1555.415429	1429.602472	1499.620454	1492.335127	1676.772934	1481.736016
AAMP	3322.100231	3294.567075	2645.620999	2799.415078	2633.517145	3618.133104	3432.501719	3507.75593
AANAT	4.473778688	7.485222176	9.986615914	10.70863275	6.120899814	5.345678066	2.077785544	9.361148118
AARS	3559.849613	3553.341899	3979.666442	4087.128166	3784.24631	3521.910899	3468.862966	3565.260126
AARS2	2844.684134	2916.028696	1898.289242	1892.750839	1911.250967	2209.546934	2154.663609	2215.91749
AARSD1	1036.638433	959.177756	879.6544184	907.5566256	850.8050741	790.2694074	813.4530405	752.9037701
AASDH	816.7841662	819.0971695	815.573633	829.0266521	869.1677736	736.8126267	744.8861175	739.5307013
AASDHPPT	3529.172273	3404.706773	3218.186978	3054.637492	3406.280746	4116.172111	3887.536753	3867.49148
AASS	1051.337992	1070.386771	1137.641996	984.301827	1274.677386	911.4381102	884.097749	833.1421825
AATF	2937.994375	2861.493506	2313.56602	2211.332663	2264.732931	2859.937765	2770.727023	2687.986817
AATK	149.5520304	218.1407606	304.5917854	324.8285268	310.6356656	237.8826739	276.3454774	290.1955917
AATK-AS1	0.639111241	0	5.82552595	0	4.59067486	3.563785377	2.077785544	4.011920622
ABAT	242.2231604	248.0816493	525.1295535	486.3504041	454.4768112	356.3785377	359.4568991	401.1920622
ABCA1	49.85067681	68.43631704	177.2624325	154.3827888	162.2038451	69.49381485	94.53924225	89.59956056
