entrezgene_id,mgi_symbol,chromosome_name
497097,Xkr4,1
100503874,NA,NA
100038431,NA,NA
19888,Rp1,1
20671,Sox17,1
27395,Mrpl15,1
18777,Lypla1,1
100503730,NA,NA
21399,Tcea1,1
58175,Rgs20,1
108664,Atp6v1h,1
18387,Oprk1,1
226304,Npbwr1,1
12421,Rb1cc1,1
620393,Alkal1,1
240690,St18,1
319263,Pcmtd1,1
71096,Sntg1,1
59014,Rrs1,1
76187,Adhfe1,1
72481,2610203C22Rik,1
76982,Vxn,1
17864,Mybl1,1
70675,Vcpip1,1
73331,NA,NA
170755,Sgk3,1
620986,NA,NA
240697,Mcmdc2,1
73824,NA,NA
266793,NA,NA
100038398,NA,NA
100039596,Tcf24,1
69312,Ppp1r42,1
26754,Cops5,1
211660,Cspp1,1
211673,Arfgef1,1
329093,Cpa6,1
109294,Prex2,1
320492,A830018L16Rik,1
329096,Gm17644,1
240725,Sulf1,1
240726,Slco5a1,1
383491,Prdm14,1
17978,Ncoa2,1
72265,Tram1,1
212442,Lactb2,1
381246,Xkr9,1
433273,Gm5523,1
14048,Eya1,1
17681,Msc,1
277328,Trpa1,1
98741,Kcnb2,1
21749,Terf1,1
226866,Sbspon,1
665434,NA,NA
75799,4930444P10Rik,1
19989,Rpl7,1
98711,Rdh10,1
29819,Stau2,1
66799,Ube2w,1
67923,Eloc,1
329101,D030040B21Rik,1
70397,Tmem70,1
17087,Ly96,1
57339,Jph1,1
14545,Gdap1,1
94227,Pi15,1
83691,Crispld1,1
78081,Crisp4,1
654454,Defb44-ps,1
654460,Defb18,1
77673,Defb41,1
654464,NA,NA
226896,Tfap2d,1
21419,Tfap2b,1
241035,Pkhd1,1
75028,4930486I03Rik,1
387202,Mir206,1
723817,Mir133b,1
16171,Il17a,1
257630,Il17f,1
17215,Mcm3,1
77741,6720483E21Rik,1
74229,Paqr8,1
71877,Efhc1,1
170829,Tram2,1
75712,Tmem14a,1
14859,Gsta3,1
241041,Gm4956,1
368204,Khdc1a,1
433278,Khdc1c,1
98582,Khdc1b,1
226922,Kcnq5,1
116837,Rims1,1
66755,Ppp1r14bl,1
387225,Mir30a,1
723964,Mir30c-2,1
70155,Ogfrl1,1
100503399,NA,NA
280645,B3gat2,1
98366,Smap1,1
68002,Sdhaf4,1
68187,Fam135a,1
12839,Col9a1,1
12823,Col19a1,1
68421,Lmbrd1,1
210933,Adgrb3,1
100504323,Gm20172,1
210940,4931408C20Rik,1
433281,NA,NA
665903,NA,NA
210962,Gm597,1
623924,Gm6462,1
791350,NA,NA
213109,Phf3,1
19243,Ptp4a1,1
70988,4931428L18Rik,1
